id,word_representation,outwear,top,trousers,women dresses,women skirts
243,w280631 w198528 w29840 w345757 w1867 w120979 w254429 w19283 w207614 w293558 w16587 w113361 w111246 w6691 w133070 w241910,0,1,1,0,0
4791,w256553 w182887 w395130 w165609 w336335 w342007 w253091 w186076 w240587 w334524 w207614 w141639 w181937 w185790 w36882 w240587 w148781,1,1,0,0,0
2294,w173317 w39222 w207614 w553 w61795 w119162 w49087 w36882 w66980 w392147 w373260 w322219 w245476 w52265 w217871 w30555 w296675 w207614 w34893 w113598 w338587 w267311 w222433 w34893 w341569 w222897 w300610 w334456 w311583 w34893 w195064 w121255 w193800 w138576 w1867 w120979,0,1,0,0,0
3640,w69002 w369717 w376233 w70856 w250138 w256905 w207614 w20434 w35857 w217871 w279437 w20894 w335611 w240417 w304051 w385444 w71240,1,0,0,1,0
1148,w382355 w169896 w323753 w396402 w380494 w221983 w311583 w194870 w277040 w365489 w139689 w255783 w380494 w221983 w47554 w232277 w138576 w371438 w123298,1,0,0,0,1
6993,w195317 w205904 w321998 w194870 w500052 w286461 w135270 w86601 w45374 w15393 w217871 w204762 w101681 w175395 w115724 w266998 w171593 w36882 w384336,1,1,0,0,0
5262,w247655 w270233 w261113 w241392 w158353 w500001 w708 w93240 w87179 w205991 w302064 w138132 w256214 w384021 w75397 w78540 w112211 w365001 w221983,1,0,0,0,1
1446,w82026 w182664 w384857 w278986 w250138 w192464 w270233 w177420 w151648 w396418 w204121 w327385 w338476 w75409 w500008 w204762 w101681 w140261 w94359 w181937 w398213,1,1,0,0,0
2463,w83749 w282225 w115114 w66980 w111248 w70856 w500039 w250138 w273956 w372706 w392147 w241910,0,0,1,1,0
3134,w500042 w358562 w81698 w194870 w221366 w66980 w34893 w232128 w115114 w162756 w283853 w46401 w81365 w369266 w62255 w6645 w241910,1,0,1,0,0
6624,w34893 w5797 w374393 w286461 w80938 w22890 w351537 w33992 w239044 w129325 w270788 w162756 w75397 w395855 w218713 w194870 w10271,1,1,0,0,0
1398,w399365 w500013 w135431 w14959 w500235 w250138 w254429 w366000 w217871 w147343 w34893 w289496 w32497 w358149 w280384 w225739 w101837 w500013 w135431 w238625 w36882,0,1,0,1,0
2245,w256553 w182887 w261297 w385820 w280823 w221983 w186076 w334524 w217871 w207614 w183833 w77002 w225279 w273391 w193067 w186076 w148781,0,0,1,0,1
4124,w364852 w84933 w327517 w311583 w380494 w379024 w162756 w241910 w270233 w239332 w48576 w239332 w264542 w185421 w304300 w15393,1,0,1,0,0
499,w361433 w90685 w198528 w241910 w239661 w311583 w70440 w48576 w85032 w311583 w265585 w89538 w239430 w109710 w188324 w12685,0,0,1,0,0
1270,w500006 w132739 w366835 w116919 w376233 w221983 w337134 w395130 w165609 w26342 w163554 w145709 w314686 w345243 w99857 w333024 w259930,0,0,1,0,1
5449,w254516 w191555 w270233 w82341 w245065 w247655 w270233 w77504 w186076 w382355 w84933 w261297 w150404 w241910 w382662 w118355 w334392 w321998 w62255 w217871 w66570 w111939,1,0,1,0,0
3330,w80884 w385278 w34893 w121255 w42500 w186076 w327774 w381413 w34893 w136665 w73217 w60883 w250138 w186076 w311583 w318673 w87179 w10065 w341569 w209018 w321998 w250138,0,0,0,1,0
1471,w218210 w295366 w21643 w34893 w337134 w134152 w181937 w3226 w1867 w120979 w311583 w500061 w322219 w144920 w105773 w194870 w253067 w117677 w277040 w221983,0,1,0,0,1
5301,w29880 w219120 w279437 w194870 w500188 w368809 w234517 w22890 w183259 w366139 w241910 w111248 w155034 w254429 w42500 w186076 w97583 w194870 w20297 w311583 w369089 w371640 w382355 w374393 w202951 w395130 w165609 w286596 w273956 w12685,0,0,1,0,0
3868,w159784 w135431 w73118 w267098 w118125 w239332 w264542 w240587 w194870 w294269 w69057 w374393 w106327 w270233 w261113 w374393 w247655 w34893 w253845 w20297 w376672 w85858 w386149 w241910,0,1,1,0,0
5332,w34893 w5797 w83112 w286461 w388086 w268930 w386149 w392167 w311583 w218128 w309016 w263923 w241910 w218713 w243012 w194870 w10271,1,0,1,0,0
5939,w256897 w101837 w331534 w333024 w311583 w162756 w342007 w20297 w146845 w207614 w270233 w40082 w77840 w34893 w363048 w331534 w390708 w380494 w241910 w399290 w194870 w52572 w20297 w253354 w120979 w292604 w334392 w133157 w36882,1,1,1,0,0
3135,w320917 w138576 w15393 w378979 w335583 w68504 w372126 w142139 w374393 w260975 w286596 w276473 w133211 w92187 w70969,1,0,1,0,0
4943,w98471 w22432 w36882 w256905 w292000 w217871 w148650 w220790 w233042 w20894 w247655 w500010 w136109 w118355 w194827 w309676 w22890 w120979,0,1,0,0,0
4677,w377271 w15393 w71369 w207614 w20434 w35857 w217871 w279437 w20894 w295206 w198528 w221983,1,0,0,0,1
6238,w237465 w125056 w67524 w230090 w286461 w34893 w89538 w158353 w266604 w360424 w15393 w34893 w399365 w500013 w135431 w238625 w138576 w15393 w248379,1,0,0,0,0
1032,w83749 w282225 w115114 w66980 w174229 w384021 w225970 w71958 w104397 w500005 w276438 w311583 w234583,0,0,1,1,0
5042,w155034 w182887 w100269 w333024 w290610 w250138 w186076 w334524 w217871 w207614 w189175 w296829 w101837 w9692 w358149 w333652 w15393 w240587 w148781,1,0,0,1,0
5248,w254516 w276473 w217871 w188324 w250138 w311583 w98699 w390708 w356796 w326106 w34893 w175250 w186076 w337250 w349078 w500123 w6645 w241910,0,0,1,1,0
3301,w237465 w53495 w306061 w372126 w47982 w66980 w189406 w217871 w127234 w173688 w85858 w28646 w234583 w277040 w239430 w376233 w221983 w34893 w132666 w116919 w221983 w103141 w105773 w318673 w45021 w201668,0,0,0,0,1
2688,w195317 w34893 w173688 w85858 w126631 w119716 w314686 w111248 w288320 w1867 w120979 w217871 w186076 w194870 w331946 w60036 w358693 w366243 w241910,0,1,1,0,0
6328,w195317 w374666 w194870 w167540 w82026 w126394 w225739 w34893 w111248 w7718 w359330 w118624 w314686 w236725 w238507 w217871 w111248 w54861 w117203 w48776 w15393 w391554 w42589 w225739 w162965,1,0,1,0,0
6398,w279289 w378979 w41024 w389319 w392173 w204762 w296780 w391856 w294820 w233042 w337250 w302106 w215985 w206529 w394225 w71240,1,1,0,0,0
7185,w42169 w194870 w225739 w254516 w14369 w138576 w247466 w15393 w254429 w306830 w34893 w346100 w225739 w194870 w289829 w373432 w195698 w29840 w109047 w127064 w203588 w101681,1,0,1,0,0
4,w254516 w135431 w115724 w331534 w256214 w71240 w356796 w326106 w34893 w175250 w217578 w186076 w349078 w26969 w241910,1,0,1,0,0
3698,w173317 w207614 w553 w298077 w34234 w300610 w373997 w33992 w66980 w392147 w373260 w322219 w245476 w52265 w217871 w30555 w207614 w34893 w113598 w338587 w267311 w186076 w222433 w34893 w341569 w204762 w150363 w381605 w264611 w209018 w500093 w34893 w89538 w204762 w398740 w36882,0,1,1,0,0
6426,w373517 w350483 w37419 w358253 w286461 w170527 w111709 w206393 w15393 w34893 w8992 w347266 w22890 w200205 w120979,1,1,0,0,0
6287,w27013 w286596 w175602 w118125 w120979 w378979 w335583 w68504 w372126 w142139 w374393 w260975 w112319 w165609 w276703 w207614 w305202 w193067,0,1,1,0,0
4567,w195317 w87218 w70995 w286461 w118355 w26335 w74232 w392167 w217871 w392128 w66980 w373517 w10065 w335875 w347032 w120979,1,1,0,0,0
5799,w230409 w33852 w109269 w369689 w377961 w217871 w286596 w62255 w207476 w375088 w6645 w202665 w86171 w158337 w241910 w270233 w223897 w19283 w260920 w34893 w81461 w105773 w375163 w71220 w217871 w327774 w90685 w34893 w374393 w118355 w26335 w74232 w392167,1,0,1,0,0
1393,w305957 w254429 w215751 w287643 w45765 w128292 w359340 w66980 w111411 w7718 w166767 w336235 w138132 w342007 w239044 w311583 w94486 w320917 w115549 w213509 w86889 w191644 w27432 w33992,1,1,0,0,0
4568,w373517 w347736 w159941 w162965 w34893 w39218 w223408 w208281 w296985 w118125 w93366 w45765 w34893 w111248 w1894 w298189 w321998 w33992,0,1,0,0,0
169,w173317 w39222 w207614 w553 w277040 w333024 w241910 w66980 w392147 w373260 w322219 w245476 w52265 w217871 w30555 w296675 w207614 w34893 w113598 w267311 w186076 w222433 w34893 w341569 w207476 w375088 w6645 w202665 w86171 w15393 w311583 w89538 w261144 w354002,1,0,1,0,0
517,w195317 w256553 w37419 w218713 w193846 w186076 w194870 w286461 w339821 w500115 w163007 w204762 w150363 w381605 w264611 w209018 w177163 w342007,1,0,0,0,0
3996,w34893 w5797 w374393 w83112 w117983 w500080 w15393 w239044 w500109 w116515 w174042 w163007 w395855 w243012 w194870 w10271,1,0,0,0,0
1186,w158995 w241780 w332305 w34893 w223408 w136665 w164528 w234583 w388660 w384021 w250138 w19617 w186076 w34893 w368663 w338587 w66706 w36882 w194870 w12216,0,1,0,1,0
1556,w195317 w34893 w372149 w390708 w241910 w217871 w191644 w186076 w191644 w156342 w103497 w163007 w186076 w194870 w75959 w86889 w198528 w380494 w241910,1,0,1,0,0
1902,w135216 w317619 w18330 w197783 w193800 w177163 w33992 w301033 w194870 w20160 w374393 w194870 w237465 w302460 w186076 w151648 w378209 w162756 w255783 w234517 w241910 w186076 w194870 w86534,0,1,1,0,0
